SI.No.,States/UT/City,No. of Cases Reported,No. of Victims Below 10 Years,No. of Victims 10-16 Years,No. of Victims 16-30 Years,No. of Victims 30 Years and above
1,Andhra Pradesh,869,57,231,427,154
2,Arunachal Pradesh,32,3,7,20,2
3,Assam,744,25,184,460,75
4,Bihar,1421,4,193,919,305
5,Goa,16,1,5,9,1
6,Gujarat,368,27,108,193,40
7,Haryana,364,25,106,177,56
8,Himachal Pradesh,128,5,28,81,14
9,Jammu & Kashmir,178,0,15,135,28
10,Karnataka,233,15,64,119,35
11,Kerala,589,25,146,352,66
12,Madhya Pradesh,3354,81,725,1882,666
13,Maharashtra,1154,79,373,522,180
14,Manipur,13,2,5,4,2
15,Meghalaya,42,4,7,29,2
16,Mizoram,84,20,29,28,7
17,Nagaland,13,1,3,9,0
18,Orissa,679,11,111,437,120
19,Punjab,219,13,78,104,24
20,Rajasthan,1266,25,132,755,354
21,Sikkim,7,2,0,3,2
22,Tamil Nadu,362,16,75,233,38
23,Tripura,73,2,14,57,0
24,Uttar Pradesh,1605,98,418,845,244
25,West Bengal,757,15,199,455,88
Total States,Total States,14570,556,3256,8255,2503
26,A & N Islands,4,0,2,2,0
27,Chandigarh,11,2,2,4,3
28,D & N Haveli,7,1,1,5,0
29,Daman & DIU,0,0,0,0,0
30,Delhi,438,67,172,147,54
31,Lakshadweep,0,0,0,0,0
32,Pondicherry,1,0,0,1,0
Total (UTs),Total (UTs),461,70,177,159,57
Total (All -India),Total (All -India),15031,626,3433,8414,2560
33,Ahmedabad,20,3,9,7,1
34,Bangalore,41,4,13,20,4
35,Bhopal,39,0,8,17,14
36,Calcutta,27,7,4,15,1
37,Chennai,24,0,6,18,0
38,Coimbatore,2,1,1,0,0
39,Delhi,365,56,143,122,46
40,Hyderabad,36,7,16,7,6
41,Indore,30,1,2,25,2
42,Jaipur,38,1,7,23,7
43,Kanpur,41,4,5,25,7
44,Kochi,10,0,5,3,2
45,Lucknow,23,0,4,17,2
46,Ludhiana,17,3,12,2,0
47,Madurai,3,0,3,0,0
48,Mumbai,118,9,56,48,5
49,Nagpur,53,8,15,28,2
50,Patna,16,0,0,13,3
51,Pune,56,4,21,27,4
52,Surat,31,2,10,15,4
53,Vadodra,9,0,3,6,0
54,Varanasi,8,0,3,5,0
55,Vishakhapatnam,11,0,3,8,0
